date,model,tone,l,file_name
2000-01-01,Gisele Bundchen,#D19985,0.6728291316526611,190_01_2000_0.jpg
2000-01-01,Carmen Kass,#CE9A86,0.6678104575163399,190_01_2000_1.jpg
2000-02-01,Angela Lindvall,#CA9C94,0.6884803921568627,190_02_2000_0.jpg
2000-03-01,Amber Valletta,#BF9368,0.5809269162210339,190_03_2000_0.jpg
2000-04-01,Carolyn Murphy,#DF9D73,0.664349376114082,190_04_2000_0.jpg
2000-05-01,Gisele Bundchen,#CC8F7F,0.6516339869281045,190_05_2000_0.jpg
2000-06-01,Gisele Bundchen,#D39C81,0.6686274509803922,190_06_2000_0.jpg
2000-07-01,Cate Blanchett,#D9AE97,0.7220588235294118,190_07_2000_0.jpg
2000-08-01,Carmen Kass,#CA9683,0.6538461538461537,190_08_2000_0.jpg
2000-09-01,Bridget Hall,#DEAC94,0.7267973856209151,190_09_2000_0.jpg
2000-10-01,Charlize Theron,#BD7B63,0.5672014260249554,190_10_2000_0.jpg
2000-11-01,Angela Lindvall,#DBAF8B,0.7033868092691622,190_11_2000_0.jpg
2000-11-01,Maggie Rizer,#D3A87D,0.6599999999999999,190_11_2000_1.jpg
2000-11-01,Carmen Kass,#D2A373,0.6387799564270152,190_11_2000_2.jpg
2000-11-01,Frankie Rayder,#DCB08D,0.7107266435986159,190_11_2000_3.jpg
2000-12-01,Nicole Kidman,#DACFC7,0.8205882352941176,190_12_2000_0.jpg
2001-01-01,Marion Jones,#C77955,0.5583710407239819,191_01_2001_0.jpg
2001-02-01,Karolina Kurkova,#C79B83,0.6475113122171945,191_02_2001_0.jpg
2001-03-01,Penelope Cruz,#DF8E69,0.6458823529411765,191_03_2001_0.jpg
2001-04-01,Renee Zellweger,#DAAD91,0.7151960784313725,191_04_2001_0.jpg
2001-05-01,Carmen Kass,#CB8B67,0.6020588235294118,191_05_2001_0.jpg
2001-06-01,Gisele Bundchen,#CF9B8B,0.679788838612368,191_06_2001_0.jpg
2001-07-01,Catherine Zeta-Jones,#D3AEA0,0.7287254901960785,191_07_2001_0.jpg
2001-08-01,Amber Valletta,#C9A594,0.6843137254901961,191_08_2001_0.jpg
2001-09-01,Linda Evangelista,#C89980,0.6438375350140055,191_09_2001_0.jpg
2001-10-01,Carolyn Murphy,#BF8873,0.6019607843137255,191_10_2001_0.jpg
2001-11-01,Britney Spears,#DBAA8E,0.7080213903743315,191_11_2001_0.jpg
2001-12-01,Gisele Bundchen,#D9AA85,0.688515406162465,191_12_2001_0.jpg
2002-01-01,Julianne Moore,#CF9C87,0.6736694677871149,192_01_2002_0.jpg
2002-02-01,Sarah Jessica Parker,#C59876,0.6212009803921569,192_02_2002_0.jpg
2002-03-01,Gwyneth Paltrow,#C58A66,0.5872549019607843,192_03_2002_0.jpg
2002-04-01,Angelina Jolie,#D8B3A0,0.7397759103641457,192_04_2002_0.jpg
2002-05-01,Natalie Portman,#C99C86,0.6602495543672013,192_05_2002_0.jpg
2002-06-01,Ashley Judd,#AD705B,0.5185520361990951,192_06_2002_0.jpg
2002-07-01,Amber Valletta,#CCAAA2,0.719327731092437,192_07_2002_0.jpg
2002-08-01,Jennifer Aniston,#CD9476,0.634436274509804,192_08_2002_0.jpg
2002-09-01,Kate Hudson,#D8B5A1,0.741421568627451,192_09_2002_0.jpg
2002-10-01,Christy Turlington,#A57F6A,0.5339366515837104,192_10_2002_0.jpg
2002-11-01,Catherine Zeta-Jones,#CCA493,0.6904575163398694,192_11_2002_0.jpg
2002-11-01,Renee Zellweger,#D7B5A6,0.7475935828877005,192_11_2002_1.jpg
2002-12-01,Halle Berry,#906051,0.44248366013071894,192_12_2002_0.jpg
2003-01-01,Sandra Bullock,#B08067,0.5486274509803921,193_01_2003_0.jpg
2003-02-01,Debra Messing,#C09070,0.5973856209150327,193_02_2003_0.jpg
2003-03-01,Julianne Moore,#D5B6AB,0.7544117647058823,193_03_2003_0.jpg
2003-04-01,Brooke Shields,#B18A67,0.5522491349480969,193_04_2003_0.jpg
2003-05-01,Cameron Diaz,#AE9284,0.6026960784313726,193_05_2003_0.jpg
2003-06-01,Reese Witherspoon,#B49B8D,0.6310457516339869,193_06_2003_0.jpg
2003-07-01,Demi Moore,#C39E86,0.6454901960784314,193_07_2003_0.jpg
2003-08-01,Sarah Jessica Parker,#B08466,0.5470588235294118,193_08_2003_0.jpg
2003-09-01,Nicole Kidman,#C9A48F,0.6756535947712419,193_09_2003_0.jpg
2003-10-01,Gwyneth Paltrow,#CB956F,0.6176470588235294,193_10_2003_0.jpg
2003-11-01,Uma Thurman,#CEB098,0.7043137254901961,193_11_2003_0.jpg
2003-12-01,Renee Zellweger,#C1A691,0.6639705882352941,193_12_2003_0.jpg
2004-01-01,Jennifer Aniston,#C28361,0.5722473604826546,194_01_2004_0.jpg
2004-02-01,Natalie Portman,#D0A187,0.6742919389978215,194_02_2004_0.jpg
2004-03-01,Angelina Jolie,#B87B67,0.5654188948306595,194_03_2004_0.jpg
2004-04-01,Gwen Stefani,#B5826E,0.5733333333333334,194_04_2004_0.jpg
2004-05-01,Nicole Kidman,#D0A486,0.6732620320855615,194_05_2004_0.jpg
2004-06-01,Kate Hudson,#D4AA85,0.6781699346405228,194_06_2004_0.jpg
2004-07-01,Kirsten Dunst,#EFBA74,0.69760348583878,194_07_2004_0.jpg
2004-08-01,Riley Keough,#D5BBAC,0.7573295985060691,194_08_2004_0.jpg
2004-08-01,Priscilla Presley,#D4C0B5,0.7720965309200603,194_08_2004_1.jpg
2004-08-01,Lisa-Marie Presley,#D2B59F,0.7244206773618538,194_08_2004_2.jpg
2004-09-01,Gisele Bundchen,#EBCDB3,0.8131127450980393,194_09_2004_0.jpg
2004-09-01,Natalia Vodianova,#F0D6C4,0.8555555555555556,194_09_2004_1.jpg
2004-09-01,Daria Werbowy,#ECD1BD,0.8348583877995643,194_09_2004_2.jpg
2004-10-01,Charlize Theron,#E7BE88,0.7205882352941176,194_10_2004_0.jpg
2004-11-01,Jennifer Connelly,#DDBA97,0.7318627450980393,194_11_2004_0.jpg
2004-12-01,Cate Blanchett,#BDAC9E,0.6825037707390649,194_12_2004_0.jpg
2005-01-01,Jennifer Lopez,#D1A58D,0.6898692810457516,195_01_2005_0.jpg
2005-02-01,Melania Trump,#DBBCA2,0.7495642701525054,195_02_2005_0.jpg
2005-03-01,Sandra Bullock,#D7A274,0.6513725490196078,195_03_2005_0.jpg
2005-04-01,Drew Barrymore,#DCC4AD,0.7723311546840959,195_04_2005_0.jpg
2005-05-01,Liya Kebede,#B17E62,0.5400560224089636,195_05_2005_0.jpg
2005-06-01,Salma Hayek,#BB8A6F,0.585838779956427,195_06_2005_0.jpg
2005-07-01,Kate Winslet,#DBAB89,0.700735294117647,195_07_2005_0.jpg
2005-08-01,Madonna,#CBA78D,0.6759803921568628,195_08_2005_0.jpg
2005-09-01,Sarah Jessica Parker,#DCB793,0.722156862745098,195_09_2005_0.jpg
2005-10-01,Gwyneth Paltrow,#DCAB82,0.6898039215686275,195_10_2005_0.jpg
2005-11-01,Reese Witherspoon,#CCA790,0.6854030501089325,195_11_2005_0.jpg
2005-12-01,Keira Knightley,#DBB38D,0.7070588235294117,195_12_2005_0.jpg
2006-01-01,Sienna Miller,#CDAA8B,0.676078431372549,196_01_2006_0.jpg
2006-02-01,Drew Barrymore,#DAA97E,0.6768382352941176,196_02_2006_0.jpg
2006-03-01,Natalie Portman,#D6B39B,0.7248934356351235,196_03_2006_0.jpg
2006-04-01,Jennifer Aniston,#DFB07B,0.6813725490196079,196_04_2006_0.jpg
2006-05-01,Keira Knightley,#DFB38C,0.7133333333333334,196_05_2006_0.jpg
2006-06-01,Uma Thurman,#CF9B64,0.6021116138763197,196_06_2006_0.jpg
2006-07-01,Kate Hudson,#D5B399,0.7192156862745098,196_07_2006_0.jpg
2006-08-01,Linda Evangelista,#CC9B82,0.6558823529411765,196_08_2006_0.jpg
2006-09-01,Kirsten Dunst,#BEA398,0.6711484593837536,196_09_2006_0.jpg
2006-10-01,Sandra Bullock,#BB8B6D,0.5807843137254901,196_10_2006_0.jpg
2006-11-01,Cate Blanchett,#B5A597,0.6523378582202111,196_11_2006_0.jpg
2006-12-01,Nicole Kidman,#C5AD94,0.6792156862745098,196_12_2006_0.jpg
2007-01-01,Angelina Jolie,#DCAD8B,0.7043572984749455,197_01_2007_0.jpg
2007-02-01,Renee Zellweger,#BC9E7F,0.6189542483660131,197_02_2007_0.jpg
2007-03-01,Jennifer Hudson,#A67955,0.4933823529411765,197_03_2007_0.jpg
2007-04-01,Scarlett Johansson,#AD9280,0.5915032679738561,197_04_2007_0.jpg
2007-05-01,Caroline Trentini,#C29774,0.6096078431372549,197_05_2007_0.jpg
2007-05-01,Lily Donaldson,#BD8F70,0.5933333333333333,197_05_2007_1.jpg
2007-05-01,Sasha Pivovarova,#C99C7C,0.6394335511982571,197_05_2007_2.jpg
2007-05-01,Hilary Rhoda,#C3967E,0.6309523809523809,197_05_2007_3.jpg
2007-05-01,Doutzen Kroes,#C79A7D,0.6362745098039215,197_05_2007_4.jpg
2007-06-01,Keira Knightley,#C89770,0.6135076252723312,197_06_2007_0.jpg
2007-07-01,Natalia Vodianova,#D1A991,0.6969187675070028,197_07_2007_0.jpg
2007-08-01,Winona Ryder,#CEAFA4,0.7275910364145658,197_08_2007_0.jpg
2007-09-01,Sienna Miller,#CDA28D,0.6797385620915033,197_09_2007_0.jpg
2007-10-01,Charlize Theron,#CDA37F,0.6529411764705882,197_10_2007_0.jpg
2007-11-01,Jennifer Connelly,#E8C5AA,0.7901960784313725,197_11_2007_0.jpg
2007-12-01,Penelope Cruz,#AE866B,0.5516934046345812,197_12_2007_0.jpg
2008-01-01,Kate Hudson,#CB9978,0.635650623885918,198_01_2008_0.jpg
2008-02-01,Kate Bosworth,#A67D61,0.5156862745098039,198_02_2008_0.jpg
2008-03-01,Drew Barrymore,#C89A7E,0.6417366946778711,198_03_2008_0.jpg
2008-04-01,Gisele Bundchen,#D6AC8A,0.692156862745098,198_04_2008_0.jpg
2008-05-01,Gwyneth Paltrow,#E0C4BA,0.8063025210084034,198_05_2008_0.jpg
2008-06-01,Sarah Jessica Parker,#BBA186,0.6308823529411764,198_06_2008_0.jpg
2008-07-01,Nicole Kidman,#DCC5AD,0.7731092436974789,198_07_2008_0.jpg
2008-08-01,Kate Moss,#A17F5F,0.5026143790849673,198_08_2008_0.jpg
2008-09-01,Keira Knightley,#BEA699,0.6746732026143791,198_09_2008_0.jpg
2008-10-01,Rachel Weisz,#C8A38F,0.6736694677871149,198_10_2008_0.jpg
2008-11-01,Reese Witherspoon,#9F8365,0.5112418300653594,198_11_2008_0.jpg
2008-12-01,Jennifer Aniston,#95745A,0.4704374057315234,198_12_2008_0.jpg
2009-01-01,Anne Hathaway,#DEA36D,0.6509803921568628,199_01_2009_0.jpg
2009-02-01,Blake Lively,#A9835E,0.5164705882352941,199_02_2009_0.jpg
2009-03-01,Michelle Obama,#844930,0.35411764705882354,199_03_2009_0.jpg
2009-04-01,Beyonce,#91684C,0.4338935574229692,199_04_2009_0.jpg
2009-05-01,Anna Jagodzinska,#D5AA7A,0.6584313725490196,199_05_2009_0.jpg
2009-05-01,Natalia Vodianova,#D3A46E,0.6318082788671024,199_05_2009_1.jpg
2009-05-01,Liya Kebede,#AC7842,0.46873638344226576,199_05_2009_2.jpg
2009-06-01,Cameron Diaz,#A38764,0.5176470588235295,199_06_2009_0.jpg
2009-07-01,Sienna Miller,#DBA981,0.6849673202614379,199_07_2009_0.jpg
2009-08-01,Christy Turlington,#B89C8B,0.6349924585218703,199_08_2009_0.jpg
2009-09-01,Charlize Theron,#DDAE77,0.6671191553544495,199_09_2009_0.jpg
2009-10-01,Michelle Williams,#E5CBAD,0.7910216718266254,199_10_2009_0.jpg
2009-11-01,Marion Cotillard,#B1946D,0.5627450980392157,199_11_2009_0.jpg
2009-11-01,Kate Hudson,#B49268,0.5580392156862746,199_11_2009_1.jpg
2009-11-01,Penelope Cruz,#B59165,0.5541176470588235,199_11_2009_2.jpg
2009-11-01,Nicole Kidman,#B99A71,0.5859477124183007,199_11_2009_3.jpg
2009-12-01,Cate Blanchett,#BB9E89,0.6375350140056022,199_12_2009_0.jpg
2010-01-01,Rachel McAdamas,#D6BAAA,0.7549019607843137,200_01_2010_0.jpg
2010-02-01,Jessica Biel,#D1A48C,0.6862745098039216,200_02_2010_0.jpg
2010-03-01,Tina Fey,#D09466,0.6091503267973857,200_03_2010_0.jpg
2010-04-01,Gisele Bundchen,#D59C71,0.6401960784313726,200_04_2010_0.jpg
2010-05-01,Sarah Jessica Parker,#D7A87F,0.6729055258467023,200_05_2010_0.jpg
2010-06-01,Blake Lively,#D5A27C,0.6637254901960784,200_06_2010_0.jpg
2010-07-01,Marion Cotillard,#BF7C62,0.5676470588235294,200_07_2010_0.jpg
2010-08-01,Gwyneth Paltrow,#DDBD9A,0.7375,200_08_2010_0.jpg
2010-09-01,Halle Berry,#D19D75,0.6424509803921569,200_09_2010_0.jpg
2010-10-01,Carey Mulligan,#E0BF9A,0.7431372549019608,200_10_2010_0.jpg
2010-11-01,Anne Hathaway,#F6D9CB,0.8823529411764706,200_11_2010_0.jpg
2010-12-01,Angelina Jolie,#B39684,0.6107843137254902,200_12_2010_0.jpg
2011-01-01,Natalie Portman,#DBB38C,0.7051282051282051,201_01_2011_0.jpg
2011-02-01,Kristen Stewart,#D6B79E,0.7316526610644258,201_02_2011_0.jpg
2011-03-01,Lady Gaga,#E0C9B9,0.8032679738562092,201_03_2011_0.jpg
